Date,Amount
01/08/2017,7244199.999
01/09/2017,16584100
01/10/2017,19371000
01/11/2017,16545100
01/12/2017,18834200
01/01/2018,17144500
01/02/2018,14653000
01/03/2018,15927600
01/04/2018,15883900.01
01/05/2018,14855800
01/06/2018,18368800
01/07/2018,19218000
01/08/2018,19083100
01/09/2018,16493700
01/10/2018,18168300
01/11/2018,17646600
01/12/2018,21117000
01/01/2019,21775500
01/02/2019,21682300
01/03/2019,22038900
01/04/2019,20292100
01/05/2019,19304800
01/06/2019,23482400
01/07/2019,27483200
01/08/2019,26254100
01/09/2019,2275800
